#separator:Comma
#html:true
#guid column:1
#notetype:Basic
#deck column:4
#tags column:5
#columns:GUID,Front,Back,Deck,Tags
CCS21-f7598199,"Which earlier rules did the CCS (Pension) Rules 2021 replace, and under which rule is the repeal with savings?","<b>Rule:</b> The 2021 Rules replaced the CCS (Pension) Rules 1972; repeal-with-savings sits in the repeal rule (pending/old cases continue under savings clauses).<br><br><b>Hinglish:</b> 1972 wale Rules gaye, 2021 wale aaye — par purane cases repeal ke savings se bachte hain.<br><br><b>Ref:</b> Rule 1; Rule 87",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_01 Rule_87 Repeal CCS_Pension::Rule_01 Priority::High
CCS21-e721f37d,Recite all 8 definition exclusions all 8 clauses in order.,"<b>Rule:</b> Railway casual/daily-rated contingencies CPF AIS foreign local recruit contract (unless contract provides otherwise) Constitution/other law.<br><br><b>Hinglish:</b> Railway, Casual, Contingency, CPF, AIS, Foreign-local, Contract, Constitution — aath bahar.<br><br><b>Mnemonic:</b> Ra-Ca-Co-C-A-Fo-Co-Co = 'Railway Casual Contingency CPF AIS Foreign Contract Constitution'.<br><br><b>Ref:</b> Rule 2(a)-(h); Rule 2; Rule 2(a); Rule 2(b); Rule 2(c); Rule 2(d); Rule 2(e); Rule 2(f); Rule 2(g); Rule 2(h)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02 Exclusion Mnemonic Synthesis CCS_Pension::Rule_02 Priority::High
CCS21-acbc04b5,Why does definition say 'these rules shall ALSO APPLY TO' instead of 'deemed appointed on or before 31.12.2003'?,<b>Rule:</b> Extension-by-application preserves the actual appointment date (no legal fiction of deemed appointment); effects like seniority/pay stay untouched.<br><br><b>Hinglish:</b> 'Apply' ka matlab sirf pension-cover badha; appointment date wahi — deemed fiction nahi.<br><br><b>Trap:</b> Do not equate 'also apply to' with deemed pre-2004 appointment.<br><br><b>Ref:</b> Rule 2 drafting note; Rule 2,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02 Drafting Exam_Trap CCS_Pension::Rule_02 Priority::High
CCS21-c02f24dd,What is the difference between 'Form' [the interpretation rule's sub-rule (1)(k)] and 'Format' [the interpretation rule's sub-rule (1)(l)]?,"<b>Rule:</b> (k) Form = a form appended to these rules (statutory application — servant/claimant fills: Forms 1–13); (l) Format = a format appended (office template/undertaking/covering letter: Formats 1–13).<br><br><b>Hinglish:</b> Form = karmchari/claimant bharta hai; Format = daftar ka template/letter. Dono appended hain, kaam alag.<br><br><b>Trap:</b> Synonyms mat samjho — 2024 me 9 forms Form 6-A me merge hue.<br><br><b>Ref:</b> Rule 3(1)(k), 3(1)(l); Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_k Rule_03_1_l Definition Form Format Exam_Trap CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_k
CCS21-44de8155,The interpretation rule's sub-rule (1)(o): 'Gratuity' includes which 3 types?,"<b>Rule:</b> Definition has 3 LIMBS — (i) service retirement OR death (the gratuity rule's sub-rule ) = ONE limb, TWO live types residuary (the gratuity rule's sub-rule ). Limbs = 3, live types = 4 (service, retirement, death, residuary).<br><br><b>Hinglish:</b> Teen-anga-chaar-prakaar.<br><br><b>Ref:</b> Rule 3(1)(o); Rule 3(1); Rule 44; Rule 45(1); Rule 45(3); Rule 3(ii); Rule 3(iii); Rule 3(3)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_o Definition Gratuity CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_o
CCS21-2552bb21,Interpretation vs Provision: Head of Department ≠ Head of Office — state the distinction.,"<b>Rule:</b> HoD = department head (lists under the retirement-list rule, sanctions); HoO = office head doing pension-case work (verification, Forms, forwarding, provisional sanction). Head of Office ≠ senior-most officer present.<br><br><b>Hinglish:</b> HoD = vibhaag ka mukhiya; HoO = pension-file chalane wala — sabse senior vyakti nahi.<br><br><b>Ref:</b> Rule 3(1)(p), 3(1)(q); Rule 3(1); Rule 54",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_p Rule_03_1_q Definition Exam_Trap CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_p
CCS21-a0ae3a7f,"Compare the conduct rule vs the proceedings rule in one line each: trigger, authority, consultation.","<b>Rule:</b> the conduct rule = post-retirement CONDUCT finding route (President + UPSC, 15+temporary-status notice). the proceedings rule (2022 rewrite) = departmental/judicial PROCEEDINGS route with 3 authorities (President / Secretary / C&amp;AG) — UPSC only where President is appointing authority.<br><br><b>Hinglish:</b> the conduct rule = acharan par Rashtrapati+UPSC; the proceedings rule = karyavahi par 3 adhikari, UPSC sirf Rashtrapati-wale cases me.<br><br><b>Ref:</b> Rules 7, 8; DoPPW OM 10.04.2023; Rule 7; Rule 8; Rule 15",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_07 Rule_08 Comparison CCS_Pension::Rule_07 Priority::Critical
CCS21-fee96ffe,The proceedings rule authority flowchart: a Deputy Secretary (appointing authority: President) vs an LDC (appointing authority: HoO) vs an IA&amp;AD auditor — who decides withholding?,"<b>Rule:</b> Dy Secy → President (+UPSC). LDC → Secretary of Administrative Ministry (no UPSC). IA&amp;AD auditor → C&amp;AG (no UPSC). Pre-2022, ALL went to President.<br><br><b>Hinglish:</b> Bada adhikari → Rashtrapati; chhota → Secretary; Audit wala → C&amp;AG.<br><br><b>Ref:</b> Rule 8(1); DoPPW OM 10.04.2023; Rule 8",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 Flowchart Scenario CCS_Pension::Rule_08 Priority::Critical CCS_Pension::Rule_08_1
CCS21-01f1b117,DoPPW transitional rule (OM 10.04.2023): case ALREADY submitted to President vs report NOT yet submitted — where is each decided?,"<b>Rule:</b> Submitted to President at any stage → President decides (+UPSC). Report not yet submitted → Secretary/C&amp;AG decides, NO UPSC, no need to send to President.<br><br><b>Hinglish:</b> Rashtrapati tak pahunch gaya to wahi faisla; nahi pahuncha to Secretary/C&amp;AG nipta dein.<br><br><b>Ref:</b> DoPPW OM 10.04.2023",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 GID Amendment CCS_Pension::Rule_08 Priority::High CCS_Pension::Rule_08_1
CCS21-ebfb112d,Military Counting vs Military Counting: the single biggest shift?,<b>Rule:</b> BEFORE: President decided ALL withholding cases (+UPSC always). AFTER: only President-appointee cases need President+UPSC; Secretary/C&amp;AG decide the rest without UPSC.<br><br><b>Hinglish:</b> Pehle sab Rashtrapati; ab chhote cases Secretary/C&amp;AG — tez faisla.<br><br><b>Ref:</b> Rule 8 pre/post G.S.R. 770(E); Rule 20-2022,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 Comparison CCS_Pension::Rule_08 Priority::Low Category::Historical CCS_Pension::Rule_08_1
CCS21-87329435,"Compare the commercial-employment rule vs foreign-government across employer, cooling period, Form, and scope.","<b>Rule:</b> the commercial-employment rule = COMMERCIAL employment, Group A, 1-year cooling, Form 1. the foreign-government rule = FOREIGN GOVT employment, all groups implied, NO time limit, NO Form. Both need prior sanction/permission; both punish breach with pension cut.<br><br><b>Hinglish:</b> Company-1saal-Form1 vs VideshSarkar-hamesha-binaForm.<br><br><b>Ref:</b> Rules 9, 10; Rule 10; Rule 9",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_09 Rule_10 Comparison CCS_Pension::Rule_09 Priority::Critical
CCS21-f5c6714e,The PSU-counting rule's sub-rule (1)all 4 clauses: counting PSU-era service needs which 4 conditions?,"<b>Rule:</b> prior Govt service linkage proper-channel absorption/permission lump-sum refund (pension/service gratuity + retirement gratuity) commutation under CCS (Commutation) Rules 1981 Table. the PSU-counting rule's sub-rule: PSU exclusion fence.<br><br><b>Hinglish:</b> Link + permission + paisa wapas + 1981 Table = PSU service gini.<br><br><b>Ref:</b> Rule 14(1)(a)-(d), 14(3); Rule 14(1); Rule 14(a)-(d); Rule 14(3); Rule 14(a); Rule 14(b); Rule 14(c); Rule 14(d)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_14 Qualifying_Service PSU CCS_Pension::Rule_14 Priority::High
CCS21-79ac2b96,Master comparison: Civil Return vs Military Counting,"<b>Rule:</b> civil return (compensation/invalid only; 36-mo; civil-return caps later pension) vs military counting (all military pensioners; 36-mo; military-counting deemed condonation; NO cap) + 2022 Exp.1 reversal.<br><br><b>Hinglish:</b> Civil-seema vs Fauji-khula — 36 kisht dono me.<br><br><b>Ref:</b> Rules 19, 20; Rule 19; Rules 20; Rule 19(5); Rule 20; Rule 20(4); Rule 20(5)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_19 Rule_20 Comparison CCS_Pension::Rule_19 Priority::Critical
CCS21-9ad10d33,Master comparison: Premature Retirement vs Voluntary Retirement,"<b>Rule:</b> Premature Retirement rule: AUTHORITY initiates, 30y, public interest, notice discretionary (may), rounding irrelevant; the voluntary-retirement rule: SERVANT initiates, 20y, no ground needed (right), 3-month notice MANDATORY, NO pension clause rounding. Both → pension retiring pension.<br><br><b>Hinglish:</b> 42 = Sarkar ki taakat (30, jan-hit); 43 = karmchari ka haq (20, notice, no-rounding). Pension dono me the pension rule.<br><br><b>Ref:</b> Rules 42, 43; Rule 42; Rules 43; Rule 44; Rule 43",CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,CCS_Pension Rule_42 Rule_43 Comparison CCS_Pension::Rule_42 Priority::Critical
CCS21-1359aff6,"QS 9y10m, emoluments Rs 60,000: pension or service gratuity, and how much?","<b>Rule:</b> 9y10m &gt; 9y9m → pension deems 10y → PENSION case: 50% × 60,000 = Rs 30,000/month (in 9,000–1,25,000 band) + separate retirement gratuity under the gratuity rule's sub-rule.<br><br><b>Hinglish:</b> Ek mahine ne gratuity ko pension bana diya — 30,000/month.<br><br><b>Ref:</b> Rule 44(1), 44(8); Example 2; Rule 44(8); Rule 45(1)(a); Rule 44(1); Rule 44(a)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Near_Miss Scenario Worked_Example CCS_Pension::Rule_44 Priority::Critical
CCS21-b9fda312,"Widow + married daughter + father survive, no nomination: who gets death gratuity?",<b>Rule:</b> Widow (Group 1) takes ALL; married daughter + father (Group 2) get NOTHING — strict exclusion.<br><br><b>Hinglish:</b> Vidva sab legi; Group 2 khaali haath.<br><br><b>Ref:</b> Rule 47(1)(b); Example 10/11,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_47 Scenario Application CCS_Pension::Rule_47 Priority::Critical
CCS21-f4d32f47,"Retired at 60 with pension Rs 40,000; dies at 63: enhanced family pension rate and period?","<b>Rule:</b> 50% of pay (say Rs 35,000) for 7y-from-death OR till-67 → 63+7=70 vs 67 → LESSER = till age 67 (4 years), capped at authorised Rs 40,000, then auto-ordinary 30%.<br><br><b>Hinglish:</b> 50% sirf 67 tak (4 saal), 40,000 ki chhat, phir 30%.<br><br><b>Ref:</b> Rule 50(2)(a)(iii); Example 7",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Scenario Worked_Example CCS_Pension::Rule_50 Priority::Critical
CCS21-b8d71c9e,Two widows + 3 minor children: gratuity AND family pension split?,"<b>Rule:</b> Gratuity (the gratuity-distribution rule Group 1): widow-half each... family-pension (the family-pension rule's sub-rule ): widows EQUAL shares; on one's death/remarriage her share → HER children, else co-widow (Example 8).<br><br><b>Hinglish:</b> Dono vidva barabar; hissa uske bacchon ko, warna saath-vidva ko.<br><br><b>Ref:</b> Rule 50(8)(c); Example 8; Rule 47; Rule 50(8); Rule 50(c)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Scenario Worked_Example CCS_Pension::Rule_50 Priority::High
CCS21-af4fa99d,"Servant missing 01.03.2025: leave sanctioned till 15.03.2025, pay paid till 31.03.2025, FIR 10.04.2025 — family pension starts?","<b>Rule:</b> LATEST = FIR 10.04.2025 → notional start day-after; payable only after 6-month bar from FIR (≈10.10.2025) per the missing-persons rule.<br><br><b>Hinglish:</b> Sabse-baadi tareekh FIR; 6 mahine baad paisa.<br><br><b>Ref:</b> Rule 51(1)(b), 51(8)(a); Example 17; Rule 51(8)(a)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_51 Scenario Worked_Example CCS_Pension::Rule_51 Priority::Critical
CCS21-667fc0d3,"Gratuity Rs 5,00,000 delayed 8 months by admin lapse, GPF 7.1%: interest =?","<b>Rule:</b> 5,00,000 × 7.1% × 8/12 ≈ Rs 23,667 — sanctioned by Secy/JS, paid in 2 months, officers proceeded against (Example 18).<br><br><b>Hinglish:</b> ~23,667 byaaj; 2 mahine me payment; zimmedar par kaarravaai.<br><br><b>Ref:</b> Rule 65; Example 18",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_65 Scenario Worked_Example CCS_Pension::Rule_65 Priority::High
CCS21-3c6c564a,Preparation vs Missing Persons: map each.,"<b>Rule:</b> Earlier = prep-start; Later = 2-date races; Latest = 3-date races; Less = post-retirement enhanced cap; More-beneficial = pay-base pick.<br><br><b>Hinglish:</b> Pehle/chhota-2/bada-3/kam/faayda — paanchon 'whichever' alag.<br><br><b>Ref:</b> Rules 56, 69, 51, 62, 79, 76, 50, 32, 44, 39; Rule 56; Rule 69; Rule 51(2)(b); Rule 51(3); Rule 62(6)(a); Rule 79(3)(iv)(1)(b); Rule 76(3)(e)(2)(a)(iii); Rule 44; Rule 39(9)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Terminology Exam_Trap Synthesis Priority::Critical
CCS21-9789fec9,"WORKED EXAMPLE 1 — Ram Kumar retires 30.06.2026: QS 32y4m, emoluments Rs 85,000, average Rs 82,000. Basic Pension?","<b>Steps:</b> Base = 85,000 (higher). Rounding the pension rule's sub-rule: 4m ≥ 3m → 65 six-monthly (32.5y). Near-miss: 32.5y ≥ 10y ✓ pension case. 50% × 85,000 = Rs 42,500 (in 9K–125K band). the pension rule's sub-rule: whole already.<br><br><b>:</b> <b>Answer: Rs 42,500/month + DR.</b><br><br><b>Hinglish:</b> Jo-bada-85, gol-32.5, aadhi-42,500.<br><br><b>Ref:</b> Rule 44; Example 1; Rule 44(7); Rule 44(9)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Worked_Example Calculation CCS_Pension::Rule_44 Priority::Critical
CCS21-fa4bd82e,"WORKED EXAMPLE 2 — QS 9y10m, emoluments Rs 60,000. Pension or gratuity?","<b>Steps:</b> 9y10m &gt; 9y9m → pension deems 10y → PENSION: 50% × 60,000 = Rs 30,000/month + separate gratuity retirement gratuity (¼ × 60,000 × 20 = Rs 3,00,000).<br><br><b>Trap:</b> 9y8m would be service-gratuity-only.<br><br><b>Ref:</b> Rule 44(1), 44(8); Example 2; Rule 44(8); Rule 45(1)(a)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Near_Miss Worked_Example CCS_Pension::Rule_44 Priority::Critical
CCS21-0bce7ef2,"WORKED EXAMPLE 3 — Pensioner basic Rs 30,000 turns 82: additional pension?","<b>Steps:</b> Age 82 → 80–85 slab 20% (the pension rule's sub-rule ) on BASIC: 20% × 30,000 = Rs 6,000/month from 1st of birth-month; total basic-ish 36,000 + DR 60%.<br><br><b>Trap:</b> Slab on basic pension, not basic+DR; no 60% slab.<br><br><b>Ref:</b> Rule 44(6); Example 3",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Additional_Pension Worked_Example CCS_Pension::Rule_44 Priority::High
CCS21-3c02cad3,"WORKED EXAMPLE 4 — Death gratuity: emoluments+DA Rs 70,000; QS cases 6m / 3y / 7y / 15y / 25y.",<b>Steps:</b> 6m → 2× = 1.4L; 3y → 6× = 4.2L; 7y → 12× = 8.4L; 15y → 20× = 14L; 25y (50 half-years) → ½ × 50 = 25× = 17.5L (≤33×; ≤25L).<br><br><b>Hinglish:</b> 2-6-12-20-25guna — sab 25L ke andar.<br><br><b>Ref:</b> Rule 45(1)(b); Example 4,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Death_Gratuity Worked_Example CCS_Pension::Rule_45 Priority::Critical
CCS21-fba9c627,"WORKED EXAMPLE 5 — Retirement gratuity: emoluments+DA Rs 90,000, QS 33y (66 half-years).","<b>Steps:</b> ¼ × 90,000 × 66 = Rs 59,40,000 → 16.5× cap = 14,85,000 → 25L overall cap not hit → payable Rs 14,85,000.<br><br><b>Hinglish:</b> Guna-pehle, 16.5-kat, 25L-jaanch — 14.85L milega.<br><br><b>Ref:</b> Rule 45(1)(a); Example 5",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Gratuity Ceiling Worked_Example CCS_Pension::Rule_45 Priority::Critical
CCS21-bebfcc36,"WORKED EXAMPLE 6 — Residuary: retired with emoluments Rs 50,000, drew pension+gratuity totalling Rs 4,00,000, dies in year 3.","<b>Steps:</b> Death within 5y ✓ → 12× benchmark = 6,00,000 → deficiency = 6,00,000 − 4,00,000 = Rs 2,00,000 residuary gratuity (the gratuity rule's sub-rule ).<br><br><b>Hinglish:</b> 12-guna se kami = top-up 2L.<br><br><b>Ref:</b> Rule 45(3); Example 6",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Residuary_Gratuity Worked_Example CCS_Pension::Rule_45 Priority::High
CCS21-beb2b267,"WORKED EXAMPLE 7 — In-service death, pay Rs 80,000: enhanced then ordinary family pension.","<b>Steps:</b> 50% × 80,000 = Rs 40,000/month × 10 years (the family-pension rule's sub-rule, ≤1.25L ✓) → then auto-ordinary 30% × 80,000 = Rs 24,000 (≤75K ✓).<br><br><b>Hinglish:</b> 40-hazar-10-saal, phir 24-hazar.<br><br><b>Ref:</b> Rule 50(2); Example 7; Rule 50(2)(a)(ii); Rule 50(a); Rule 50(ii)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Worked_Example CCS_Pension::Rule_50 Priority::High
CCS21-784cd122,"WORKED EXAMPLE 8 — Two widows, pay Rs 60,000, in-service death: split?","<b>Steps:</b> Enhanced 50% × 60,000 = 30,000 ÷ 2 = Rs 15,000 each (the family-pension rule's sub-rule ); on one's exit her 15,000 → HER children, else co-widow.<br><br><b>Hinglish:</b> 15-15 barabar + cascade.<br><br><b>Ref:</b> Rule 50(8)(c); Example 8; Rule 50(8); Rule 50(c)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Worked_Example CCS_Pension::Rule_50 Priority::High
CCS21-c89ed8a0,WORKED EXAMPLE 9 — Average emoluments: last-10-month pay with one EOL month and one increment due-but-delayed.,"<b>Steps:</b> Drop EOL month (the average-emoluments rule's sub-rule ); add notional increment (the average-emoluments rule's sub-rule ); average the 10-month window; ignore reductions (the average-emoluments rule's sub-rule ); compare vs last emoluments — higher wins.<br><br><b>Hinglish:</b> EOL-bahar, increment-andar, ghata-muaaf, jo-bada-wahi.<br><br><b>Ref:</b> Rule 32; Example 9; Rule 44; Rule 32(4); Rule 32(5)(6)-(6); Rule 32(2); Rule 32(5); Rule 32(6)",CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,CCS_Pension Rule_32 Average_Emoluments Worked_Example CCS_Pension::Rule_32 Priority::High
CCS21-2d0faca0,WORKED EXAMPLE 9A — Promotion in last 10 months: which pay feeds the average?,"<b>Steps:</b> Actual pay drawn month-by-month incl. promoted pay from due date (the average-emoluments rule's sub-rule ); no notional backdating of promotion itself; EOL/suspension months excluded.<br><br><b>Hinglish:</b> Promotion jis-mahine-se usi-se-gino.<br><br><b>Ref:</b> Rule 32(3), (4); Example 9A; Rule 32(3)",CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,CCS_Pension Rule_32 Worked_Example CCS_Pension::Rule_32 Priority::Medium
CCS21-268d347d,WORKED EXAMPLE 10 — No nomination: widow + son 22 + father survive. Gratuity split?,<b>Steps:</b> Group 1 = widow + son-22 (both eligible) → share equally; father (Group 2) excluded entirely (the gratuity-distribution rule's sub-rule ).<br><br><b>Hinglish:</b> Vidva-beta aadha-aadha; pita-bahar.<br><br><b>Ref:</b> Rule 47(1)(b); Example 10; Rule 47(1); Rule 47(b),CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_47 Worked_Example CCS_Pension::Rule_47 Priority::High
