#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
"CCS21-99ba7727","The CCS (Pension) Rules 2021 may be cited by short title{{c1::Central Civil Services (Pension) Rules, 2021}}and came into force on{{c2::20.12.2021}}vide{{c3::G.S.R. 868(E)}}.","<b>Rule:</b> provision short title; provision commencement on publication date 20.12.2021.<br><br><b>Hinglish:</b> Naam — CCS (Pension) Rules 2021; lagu — Gazette wale din 20.12.2021 se.<br><br><b>Ref:</b> Rule 1(1), 1(2); G.S.R. 868(E); Rule 1(1); Rule 1(2)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_01 Short_Title Timeline CCS_Pension::Rule_01 Priority::Critical","Cloze"
"CCS21-f7598199","Which earlier rules did the CCS (Pension) Rules 2021 replace, and under which rule is the repeal with savings?","<b>Rule:</b> The 2021 Rules replaced the CCS (Pension) Rules 1972; repeal-with-savings sits in the repeal rule (pending/old cases continue under savings clauses).<br><br><b>Hinglish:</b> 1972 wale Rules gaye, 2021 wale aaye — par purane cases repeal ke savings se bachte hain.<br><br><b>Ref:</b> Rule 1; Rule 87","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_01 Rule_87 Repeal CCS_Pension::Rule_01 Priority::High","Basic"
"CCS21-884d0897","The First Amendment G.S.R.{{c1::770(E)}}dated{{c2::07.10.2022}}rewrote the proceedings rule{{c3::proceedings}}and also touched the military-counting rule{{c4::military-counting}}.","<b>Rule:</b> 2022 amendment in force on publication; rewrote proceedings authorities, added 8the appellate clause, reversed Expl.1, fixed the gratuity-nomination rule, renumbered the payment rule.<br><br><b>Hinglish:</b> 2022 wala amendment proceedings ka poora rewrite — teen authorities + appeal structure.<br><br><b>Ref:</b> G.S.R. 770(E); Rule 8; Rule 20; Rule 8(6A); Rule 8(1); Rule 46(5)(a); Rule 76(5A); Rule 77(ii)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_01 GSR_770_E_2022 Amendment CCS_Pension::Rule_01 Priority::Critical","Cloze"
"CCS21-10419a10","The Second Amendment{{c1::G.S.R. 410(E)}}dated{{c2::16.07.2024}}introduced Single Pension Application Form{{c3::6-A}}and came into force{{c4::after 120 days from publication}}.","<b>Rule:</b> Cl.1: in force after 120 days from 16.07.2024 (mid-Nov 2024 — portals cite compassionate-allowance/PSU-counting/probation/civil-return Nov; VERIFY Gazette before quoting exact date).<br><br><b>Hinglish:</b> 2024 amendment turant lagu NAHI — 120 din baad; Form 6-A isi ka tohfa hai.<br><br><b>Ref:</b> G.S.R. 410(E) cl.1(2); Rule 19; Rule 41; Rule 14; Rule 16; Rule 41(2)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_01 GSR_410_E_2024 Form_6A Amendment Timeline CCS_Pension::Rule_01 Priority::Critical","Cloze"
"CCS21-4dd66e09","The Third Amendment{{c1::G.S.R. 340(E)}}dated{{c2::22.05.2025}}substituted the PSU-absorption rule{{c3::PSU-absorption}}and came into force{{c4::on publication, 22.05.2025}}.","<b>Rule:</b> PSU dismissal/removal after absorption forfeits Govt-service retirement benefits too; retrenchment only triggers Ministry review.<br><br><b>Hinglish:</b> 2025 amendment — PSU me nikaale gaye to Sarkari pension bhi gayi; lagu publication wale din se.<br><br><b>Ref:</b> G.S.R. 340(E); Rule 37","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_01 GSR_340_E_2025 Rule_37_29_c Amendment CCS_Pension::Rule_01 Priority::Critical","Cloze"
"CCS21-1d10d622","The definition rule applies the 2021 Rules to Government servants appointed{{c1::on or before 31.12.2003}}(pre-2004 appointees).","<b>Rule:</b> Cut-off is appointment date 31.12.2003; post-31.12.2003 joiners fall under NPS Rules (Cut-off is appointment date 31.12.2003; post-31.12.2003 joiners fall under NPS Rules (subject to Explanations).<br><br><b>Hinglish:</b> 31.12.2003 tak appointed = pension rules; uske baad = NPS (kuch exceptions ke saath).<br><br><b>Trap:</b> Date is 31.12.2003, not 01.01.2004.<br><br><b>Ref:</b> Rule ule 2 main para; Rule 2","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_02 Applicability Threshold CCS_Pension::Rule_02 Priority::Critical","Cloze"
"CCS21-e21ac61f","The definition rule's sub-rule (a) excludes{{c1::Railway servants}}from the CCS (Pension) Rules 2021.","<b>Rule:</b> Railway staff have their own pension rules.<br><br><b>Hinglish:</b> Railway wale isme nahi — unke apne rules hain.<br><br><b>Ref:</b> Rule 2(a)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_02_a Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_a","Cloze"
"CCS21-b9db6d1d","The definition rule's sub-rule (b) excludes persons in{{c1::casual and daily-rated}}employment.","<b>Rule:</b> Casual/daily-rated workers are outside the Rules (contrast: temporary-status regularised service counts 50% under the temporary-status rule).<br><br><b>Hinglish:</b> Casual/daily-rated = bahar; par regularised temporary-status ka 50% service temporary-status me gina jaata hai.<br><br><b>Ref:</b> Rule 2(b); Rule 15","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_02_b Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_b","Cloze"
"CCS21-03c42e11","The definition rule's sub-rule (c) excludes persons paid from{{c1::contingencies}}.","<b>Rule:</b> Contingency-paid establishment is not pensionable under these Rules.<br><br><b>Hinglish:</b> Contingencies se salary pane wale bahar.<br><br><b>Ref:</b> Rule 2(c)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_02_c Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_c","Cloze"
"CCS21-29ad5299","The definition rule's sub-rule (d) excludes persons under the{{c1::Contributory Provident Fund (CPF)}}scheme.","<b>Rule:</b> CPF-covered staff stay under CPF (contrast the contract-service rule's sub-rule: CPF Govt contribution refunded on counting service).<br><br><b>Hinglish:</b> CPF wale bahar — pension scheme wale andar.<br><br><b>Ref:</b> Rule 2(d); Rule 18(ii); Rule 2(ii)","CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10","CCS_Pension Rule_02_d Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_d","Cloze"
