#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-60dd9f19,The qualifying-service rule: qualifying service begins from{{c1::taking charge of the first post}}— with which 2 provisos and 1 exception?,<b>Rule:</b> P1: officiating/temporary service followed by substantive appointment counts. P2: no service before age 18 counts. Exception: military counting counting.<br><br><b>Hinglish:</b> Pehle post ka charge = shuruaat; 18 se pehle ka zero; officiating→substantive judta hai.<br><br><b>Ref:</b> Rule 11; Rule 20,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_11 Qualifying_Service Proviso CCS_Pension::Rule_11 Priority::High,Cloze
CCS21-00074462,The qualifying-service rule's Second Proviso: service before age{{c1::18 years}}does NOT count — but verification timeline clock ALSO starts at{{c2::18 years}}of service. Avoid the confusion.,"<b>Rule:</b> 18 YEARS OF AGE (the qualifying-service rule floor) vs 18 YEARS OF SERVICE (verification trigger) — same number, different units.<br><br><b>Hinglish:</b> 18 saal UMAR vs 18 saal NAUKRI — sankhya ek, matlab alag.<br><br><b>Trap:</b> Units trap.<br><br><b>Ref:</b> Rule 11; Rule 30(1); Rule 30",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_11 Rule_30 Near_Miss Exam_Trap CCS_Pension::Rule_11 Priority::Critical,Cloze
CCS21-8cb87b24,The paid-service rule: service counts only if the servant performed{{c1::duties AND drew pay}}— state the Explanation's funding test.,<b>Rule:</b> Service under Government + paid from Consolidated Fund of India / Govt-administered Local Fund; non-contributory-scheme service excluded unless Government orders otherwise (override).<br><br><b>Hinglish:</b> Kaam + tankhvah dono; paisa Sarkari khazane se; non-contributory scheme bahar (Sarkar chahe to andar).<br><br><b>Ref:</b> Rule 12,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_12 Qualifying_Service Explanation CCS_Pension::Rule_12 Priority::High,Cloze
CCS21-6bd5a94f,The State-transfer rule's sub-rule (1):{{c1::permanent transfer}}to State service preserves counting; the State-transfer rule's sub-rule (3):{{c2::Central Government bears}}the pension liability.,"<b>Rule:</b> Centre-to-State permanent transferees keep QS; Centre pays (liability allocation rule).<br><br><b>Hinglish:</b> Rajya me pakke transfer par service bachi; kharcha Kendra dega.<br><br><b>Ref:</b> Rule 13(1), 13(3); Rule 13(1); Rule 13(3)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_13 Qualifying_Service CCS_Pension::Rule_13 Priority::High,Cloze
CCS21-f5c6714e,The PSU-counting rule's sub-rule (1)all 4 clauses: counting PSU-era service needs which 4 conditions?,"<b>Rule:</b> prior Govt service linkage proper-channel absorption/permission lump-sum refund (pension/service gratuity + retirement gratuity) commutation under CCS (Commutation) Rules 1981 Table. the PSU-counting rule's sub-rule: PSU exclusion fence.<br><br><b>Hinglish:</b> Link + permission + paisa wapas + 1981 Table = PSU service gini.<br><br><b>Ref:</b> Rule 14(1)(a)-(d), 14(3); Rule 14(1); Rule 14(a)-(d); Rule 14(3); Rule 14(a); Rule 14(b); Rule 14(c); Rule 14(d)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_14 Qualifying_Service PSU CCS_Pension::Rule_14 Priority::High,Basic
CCS21-17a98a75,The PSU-counting rule's sub-rule (1)(c) lump sum ={{c1::pension/service gratuity + retirement gratuity}}already drawn; PSU-counting commutation follows the{{c2::1981 Table}}.,"<b>Rule:</b> Refund what you took; commute only per CCS (Commutation of Pension) Rules 1981 Table.<br><br><b>Hinglish:</b> Jo liya wapas karo; commutation 1981 Table se.<br><br><b>Ref:</b> Rule 14(1)(c), 14(1)(d); Rule 14(1)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_14 PSU CCS_Pension::Rule_14 Priority::High,Cloze
CCS21-324d0d4a,"The temporary-status rule: regularised{{c1::temporary-status}}(Casual Labourers Scheme 1993, DoPT) service counts at{{c2::family-pension per cent}}.",<b>Rule:</b> Only REGULARISATION unlocks the 50%; casual spell itself never counts directly.<br><br><b>Hinglish:</b> Regular ho gaye to aadhi service mili — Casual Labourers Scheme 1993 walo ko.<br><br><b>Ref:</b> Rule 15; Rule 2 Expl.4; Rule 50,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_15 Qualifying_Service Threshold CCS_Pension::Rule_15 Priority::High,Cloze
CCS21-245187d1,The probation rule:{{c1::probation}}against a post counts once followed by{{c2::confirmation}}(same or another post).,<b>Rule:</b> Probation + confirmation = qualifying; unconfirmed probation dangling alone is the risk case.<br><br><b>Hinglish:</b> Pariksha-kaalin service pakki niyukti ke saath gini.<br><br><b>Ref:</b> Rule 16,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_16 Qualifying_Service CCS_Pension::Rule_16 Priority::High,Cloze
CCS21-b4701915,The apprenticeship rule:{{c1::apprentice}}service is EXCLUDED — except{{c2::SAS apprentices of IA&amp;AD / DAD only}}.,<b>Rule:</b> General apprentice ban; narrow SAS (Subordinate Accounts Service) exception in audit/defence accounts.<br><br><b>Hinglish:</b> Apprentice bahar — sirf Audit/Defence Accounts ke SAS apprentice andar.<br><br><b>Ref:</b> Rule 17,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_17 Exception CCS_Pension::Rule_17 Priority::High,Cloze
CCS21-9f185d45,The contract-service rule's sub-rule (i): contract appointment{{c1::on or before 31.12.2003}}can count; the contract-service rule's sub-rule (ii):{{c2::CPF Government contribution}}must be refunded (cumulative).,"<b>Rule:</b> Pre-cutoff contract service is countable; CPF employer money comes back with accumulations.<br><br><b>Hinglish:</b> 2003 tak ka contract gina; CPF ka Sarkari hissa byaaj samet wapas.<br><br><b>Trap:</b> Previous SANCTION vs previous KNOWLEDGE — sanction is the load-bearing word.<br><br><b>Ref:</b> Rule 18(i), 18(ii); Rule 18(i); Rule 18(ii)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_18 Qualifying_Service Exam_Trap CCS_Pension::Rule_18 Priority::High,Cloze
CCS21-f22dde41,"The civil-return rule's sub-rule (1) covers 4 re-employment entry classes:{{c1::compensation pension, invalid pension, compensation gratuity, invalid gratuity}}— which 2 pensions are NOT covered?",<b>Rule:</b> SUPERANNUATION and RETIRING pensions are NOT civil-return cases (their holders re-employed differently).<br><br><b>Hinglish:</b> Compensation/invalid wale andar; superannuation/retiring wale bahar.<br><br><b>Trap:</b> Superannuation/retiring pension = NOT the civil-return rule.<br><br><b>Ref:</b> Rule 19(1); Rule 19,CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_19 Re_Employment Exam_Trap CCS_Pension::Rule_19 Priority::Critical,Cloze
CCS21-949e859a,The civil-return rule refund items:{{c1::pension drawn + commutation value + retirement/service gratuity}}; instalments capped at{{c2::36 months}}; right revives ONLY on{{c3::full refund}}.,"<b>Rule:</b> Civil Return rule: 36-monthly-instalment cap; first instalment timing fixed; part refund = no revival. the civil-return rule's sub-rule: death before full refund → adjust from death gratuity.<br><br><b>Hinglish:</b> Jo liya sab wapas (36 kishton me); poora wapas tabhi purani service judegi; maut ho to death gratuity se kaato.<br><br><b>Ref:</b> Rule 19(3), 19(4); Rule 19; Rule 19(3); Rule 19(4)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_19 Re_Employment Timeline CCS_Pension::Rule_19 Priority::Critical,Cloze
CCS21-6f06f430,The civil-return rule's sub-rule (2)(i):{{c1::pre-re-employment pension}}is NOT refundable; the civil-return rule's sub-rule (2)(ii):{{c2::gratuity element in pay fixation}}IS refundable.,"<b>Rule:</b> Pension earned BEFORE re-employment stays yours; but gratuity baked into re-employed pay must return.<br><br><b>Hinglish:</b> Pehle ki pension tumhari; vetan me ghusi gratuity wapas.<br><br><b>Ref:</b> Rule 19(2)(i), 19(2)(ii); Rule 19(2)",CCS_Pension_Rules_2021::02_Qualifying_Service_Rules_11_to_30,CCS_Pension Rule_19 Re_Employment CCS_Pension::Rule_19 Priority::High,Cloze
