#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-4012d4b8,The Bhavishya rule's sub-rule (1) default: pension cases run on{{c1::Bhavishya / e-HRMS}}— e-HRMS for{{c2::superannuation ONLY}}; all other retirements via{{c3::Bhavishya}}(2024 verified text).,"<b>Rule:</b> Online-first ('unless otherwise exempted'); e-HRMS = superannuation; VR/premature/absorption/invalidation/compulsory/dismissal-removal = Bhavishya.<br><br><b>Hinglish:</b> Online hi file; e-HRMS sirf superannuation, baaki Bhavishya.<br><br><b>Ref:</b> Rule 53(1) as amended 2024; Rule 53(1)",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_53 Procedure Form_6A GSR_410_E_2024 CCS_Pension::Rule_53 Priority::High,Cloze
CCS21-59c2b1f9,The Bhavishya rule's sub-rule (2)(a): exempted department/office/person →{{c1::ENTIRE case manual}}; the Bhavishya rule's sub-rule (2)(b): single action unavailable online →{{c2::ONLY that step manual}}.,"<b>Rule:</b> Whole-vs-step manual fallback ('online mode (Bhavishya/e-HRMS)' per 2024).<br><br><b>Hinglish:</b> Chhoot mili to poori file kagaz par; ek-step atka to sirf wahi kagaz par.<br><br><b>Ref:</b> Rule 53(2)(a), 53(2)(b); Rule 53(2)",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_53 Procedure CCS_Pension::Rule_53 Priority::Medium,Cloze
CCS21-7080e1ab,"The retirement-list rule's sub-rule (1): HoD prepares retirement list{{c1::monthly by the 15th}}covering{{c2::next 15 months}}, and sends it to the Accounts Officer{{c3::before month-end}}.",<b>Rule:</b> 15th-list → month-end-AO pipeline.<br><br><b>Hinglish:</b> Har mahine 15 tak 15-mahine ki list; mahine-khatm se pehle AO ko.<br><br><b>Ref:</b> Rule 54(1),CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_54 Timeline CCS_Pension::Rule_54 Priority::High,Cloze
CCS21-14d1c24c,The retirement-list rule's sub-rule (3): NON-superannuation retirements → HoO intimates AO within{{c1::10 days}}of the retirement event/order.,<b>Rule:</b> Event-clock (10 days) replaces calendar-clock for VR/compulsory/invalidation etc.<br><br><b>Hinglish:</b> Superannuation nahi to 10 din me AO ko khabar.<br><br><b>Ref:</b> Rule 54(3),CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_54 Timeline CCS_Pension::Rule_54 Priority::High,Cloze
CCS21-8743d7a4,"The DoE-dues rule's sub-rule (1): right after the retirement list, HoO seeks{{c1::Directorate of Estates}}dues details{{c2::1 year before superannuation}}covering{{c3::8 months}}; the DoE-dues rule's sub-rule (3): HoO acts within{{c4::10 days}}of obtaining details.","<b>Rule:</b> 1-year/8-month DoE sweep + 10-day HoO action; the DoE-dues rule's sub-rule: non-superannuation variant.<br><br><b>Hinglish:</b> 1 saal pehle DoE se hisaab (8 mahine), mile to 10 din me kaarravaai.<br><br><b>Ref:</b> Rule 55(1), 55(2), 55(3); Rule 55(1); Rule 54; Rule 55(3); Rule 55(2)",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_55 Timeline CCS_Pension::Rule_55 Priority::High,Cloze
CCS21-8c335ed5,"The preparation rule: HoO starts preparatory work{{c1::1 year before superannuation OR LPR date, whichever is EARLIER}}.",<b>Rule:</b> The 'earlier' pole — contrast the missing-persons rule's latest/later (missing) and the provisional-pension rule's sub-rule 's later.<br><br><b>Hinglish:</b> 1-saal/LPR me jo PEHLE — taiyaari tab se.<br><br><b>Trap:</b> EARLIER (not later).<br><br><b>Ref:</b> Rule 56; Rule 51; Rule 62(6)(a); Rule 56(6); Rule 56(a),CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_56 Timeline Exam_Trap CCS_Pension::Rule_56 Priority::Critical,Cloze
CCS21-edf7cacf,"The calendar rule's sub-rule (1)(b) STAGE 2 (Making Good Omissions): emoluments re-check limited to{{c1::24 months}}; calendar stage 3 (Forms &amp; Certificate): finish in{{c2::8 months}},{{c3::2-month non-acceptance}}rule; advise{{c4::Form 6-A}}(+ Form 4, Format 9) (2024).","<b>Rule:</b> Omissions + 24-month pay lookback; forms-stage with 2-month deeming.<br><br><b>Hinglish:</b> Kami poori karo (24-mahine vetan); Form 6-A bharwao (8 mahine).<br><br><b>Ref:</b> Rule 57(1)(b), 57(1)(c); Rule 57(1)",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_57 Timeline Form_6A CCS_Pension::Rule_57 Priority::High,Cloze
CCS21-0bf52432,The calendar rule's sub-rule (2)(a): servant submits Form 6-A{{c1::6 months before retirement}}; the calendar rule's sub-rule (3): filing ladder{{c2::servant → spouse → THE member of family}}(+ 2024 commutation-bar proviso).,"<b>Rule:</b> 6-month filing; 'THE member' (contrast the event rule's 'ANY OTHER member').<br><br><b>Hinglish:</b> 6 mahine pehle Form 6-A; khud→patni→'THE' parivaar-sadasya.<br><br><b>Trap:</b> THE member.<br><br><b>Ref:</b> Rule 57(2)(a), 57(3); Rule 57(2); Rule 57(3); Rule 58",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_57 Timeline Form_6A CCS_Pension::Rule_57 Priority::High,Cloze
CCS21-bc5aab5f,Calendar vs Event{{c1::calendar clock (6-month pre-date)}}vs{{c2::event clock (post-approval immediacy)}}— and Form scope identical (Form 6-A).,"<b>Rule:</b> Superannuation runs on calendar; everything else on events.<br><br><b>Hinglish:</b> 57 = tareekh-ghadi; 58 = ghatna-ghadi.<br><br><b>Ref:</b> Rules 57, 58; Rule 57; Rule 58",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_57 Rule_58 Comparison CCS_Pension::Rule_57 Priority::High,Cloze
CCS21-ffcf6112,"G.S.R. 410(E): where spouse/family files Form 6-A, servant loses{{c1::commutation benefit}}till{{c2::he personally applies under CCS (Commutation) Rules 1981}}(the calendar rule's sub-rule (3) + 58 provisos).",<b>Rule:</b> Commutation is personal — proxy filing can't trigger it.<br><br><b>Hinglish:</b> Patni-ne-bhara to commutation ruka — khud-aao-tab-pao.<br><br><b>Ref:</b> Rule 57(3); Rule 58 provisos,CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension GSR_410_E_2024 Form_6A Proviso Priority::High,Cloze
CCS21-38d59bd4,"Calendar vs Event{{c1::calendar (6-month, 'THE member')}}vs{{c2::event (immediate, 'ANY OTHER member')}}.","<b>Rule:</b> Tareekh vs ghatna + keyword.<br><br><b>Hinglish:</b> 57-tareekh-THE; 58-ghatna-ANY-OTHER.<br><br><b>Ref:</b> Rules 57, 58; Rule 57; Rule 58",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Comparison Priority::High,Cloze
CCS21-152e00c5,TABLE ROW — The calendar rule three stages: S1{{c1::VERIFY service (bills/LPC/April-slip; 2-mo reply; unverifiable=deemed; Secretary-onus; truth-bond) — 8 mo}}; S2{{c2::MAKE GOOD omissions (forfeiture-mo pay lookback)}}; S3{{c3::FORMS + certificate (advise 6-A; 2-mo non-acceptance) — 8 mo}}.,<b>Table:</b> 3-stage timeline table.<br><br><b>Hinglish:</b> Jaanch-kami-form — 8-24-8.<br><br><b>Ref:</b> Rule 57(1)(a)-(c); Rule 57; Rule 24,CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_57 Visual_Summary Timeline CCS_Pension::Rule_57 Priority::High,Cloze
CCS21-85ef8efd,TABLE ROW — Calendar vs Event: clock{{c1::6-mo calendar vs immediate-event}}; ladder-word{{c2::'THE member' vs 'ANY OTHER member'}}; shared proviso{{c3::spouse/family filing → COMMUTATION BARRED till personal 1981 application (2024)}}.,<b>Table:</b> 3-row forms table.<br><br><b>Hinglish:</b> Tareekh-THE vs ghatna-ANY — commutation-ruka.<br><br><b>Ref:</b> Rule 57; Rule 58,CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_57 Rule_58 Visual_Summary Form_6A CCS_Pension::Rule_57 Priority::High,Cloze
CCS21-2c1d6980,SCENARIO — A remote field office is exempted from Bhavishya by special order. The HoO processes HALF the case online (possible steps) and half on paper. Valid under the Bhavishya rule's sub-rule (2)?,"<b>Rule:</b> NO — the Bhavishya rule's sub-rule: exempted office/person = ENTIRE case manual. Hybrid is allowed ONLY under the Bhavishya rule (single action unavailable). Exemption is all-or-nothing.<br><br><b>Hinglish:</b> Chhoot-poori to kagaz-poora — aadha-online-galat.<br><br><b>Ref:</b> Rule 53(2)(a), (b); Rule 53(2); Rule 53(2)(b); Rule 53(2)(a); Rule 53(a)",CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_53 Evaluation Scenario CCS_Pension::Rule_53 Priority::High,Basic
CCS21-3e85d18d,SCENARIO — Bhavishya's upload module fails for one annexure; HoO files the whole case physically. Valid?,<b>Rule:</b> NO — the Bhavishya rule's sub-rule: only THAT step goes manual; the rest stays online. Whole-file manual needs a the Bhavishya rule exemption.<br><br><b>Hinglish:</b> Ek-step-atka to ek-kagaz — poori-file-nahi.<br><br><b>Ref:</b> Rule 53(2)(b); Rule 53(2)(a); Rule 53(2); Rule 53(b),CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_53 Evaluation CCS_Pension::Rule_53 Priority::Medium,Basic
CCS21-f401fd63,EVALUATE — An e-HRMS official taking VOLUNTARY retirement files Form 6-A through e-HRMS. The system rejects it. Who is right?,<b>Rule:</b> SYSTEM is right — the Bhavishya rule's sub-rule (2024): e-HRMS = SUPERANNUATION only; VR goes via BHAVISHYA. Re-file on Bhavishya.<br><br><b>Hinglish:</b> VR-eHRMS-galat — Bhavishya-par-jao.<br><br><b>Ref:</b> Rule 53(1),CCS_Pension_Rules_2021::06_Bhavishya_Calendar_Rules_53_to_57,CCS_Pension Rule_53 Form_6A Evaluation CCS_Pension::Rule_53 Priority::High,Basic
