#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-aa189764,"The death-intimation rule's sub-rule (1): on death in service, HoO ascertains{{c1::gratuity / family pension / both}}; the death-intimation rule's sub-rule (2): checks{{c2::nomination}}, writes{{c3::Format 11}}to claimants for{{c4::Form 9}}death-gratuity claim.","<b>Rule:</b> Death-case opening: ascertain + nomination-check + Format-11/Form-9 gratuity track.<br><br><b>Hinglish:</b> Maut par HoO hisaab-nomination dekhe, Format 11 bheje, Form 9 mangaaye.<br><br><b>Ref:</b> Rule 71(1), 71(2); Rule 71(1); Rule 71(2)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_71 Form Format CCS_Pension::Rule_71 Priority::High,Cloze
CCS21-4d82b19f,The death-intimation rule's sub-rule (3): family-pension track ={{c1::Format 12}}to claimants +{{c2::Form 10}}claim +{{c3::Format 9}}bank undertaking.,"<b>Rule:</b> 12-invites, 10-claims, 9-undertakes.<br><br><b>Hinglish:</b> Format 12 bulaava, Form 10 daava, Format 9 bank-vachan.<br><br><b>Ref:</b> Rule 71(3)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_71 Form Format CCS_Pension::Rule_71 Priority::High,Cloze
CCS21-d957c397,"The death-intimation rule's sub-rule (4)(a):{{c1::pre-death licence fee WAIVED}}; second,{{c2::damages recovered EXCEPT death-month + 3 months}}; third, DoE intimation in{{c3::7 DAYS}}.","<b>Rule:</b> Death-softened dues: fee forgiven, 4-month damage holiday, 7-day DoE alert.<br><br><b>Hinglish:</b> Maut par kiraya muaaf, 4-mahine nuksan-chhoot, 7 din me DoE-khabar.<br><br><b>Ref:</b> Rule 71(4)(a), (b), (c); Rule 71(4)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_71 Timeline CCS_Pension::Rule_71 Priority::Critical,Cloze
CCS21-a5d1e78b,The death-intimation rule's sub-rule (5)(6): missing servant →{{c1::the missing-persons rule's sub-rule (1) + the missing-persons rule's sub-rule (4)}}route with{{c2::police report}}in the chain.,"<b>Rule:</b> Disappearance plugs into the missing-persons rule missing-machinery.<br><br><b>Hinglish:</b> Laapata par missing-persons wala rasta + police report.<br><br><b>Ref:</b> Rule 71(5), 71(6); Rule 71(5); Rule 6; Rule 51(1); Rule 51(4); Rule 51",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_71 Missing_Person CCS_Pension::Rule_71 Priority::Medium,Cloze
CCS21-c2bdc93c,"The record-verification rule's sub-rule (1)(a): verify{{c1::ENTIRE service book}}; the record-verification rule{{c2::unverified ACCEPTED as verified}}; the record-verification rule{{c3::ready-access material = power, not duty}}; the record-verification rule must be{{c4::continuous (no dismissal/removal/resignation/strike)}}.","<b>Rule:</b> Death-case verification is lenient-but-continuous.<br><br><b>Hinglish:</b> Poori book dekho; unverified maan-lo; nirantar hona chahiye.<br><br><b>Ref:</b> Rule 72(1)(a), (b); Rule 72(1); Rule 72(b)(i); Rule 72(b)(ii); Rule 72(b)(iii)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_72 CCS_Pension::Rule_72 Priority::High,Cloze
CCS21-d6e2ae49,"The record-verification rule's sub-rule (2)(a): emoluments lookback ={{c1::1 YEAR}}(vs the calendar rule's 24 months); second,{{c2::EOL-case}}handling; the record-verification rule's sub-rule (3): determination in{{c3::1 MONTH}}.","<b>Rule:</b> Shorter pay-audit (1y vs 2y), 1-month finish.<br><br><b>Hinglish:</b> Maut-case me 1-saal vetan-jaanch, 1 mahine me faisla.<br><br><b>Trap:</b> 1y vs 24-month.<br><br><b>Ref:</b> Rule 72(2)(a), (b); Rule 72(3); Rule 72(2); Rule 57",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_72 Timeline Exam_Trap CCS_Pension::Rule_72 Priority::High,Cloze
CCS21-c49f55e0,The FP-settlement rule's sub-rule (1): '{{c1::NO CASE should exist}}' without papers moving; the FP-settlement rule's sub-rule (2)(a): family pension (the family-pension rule's sub-rule (2)) settled within{{c2::1 MONTH}}.,"<b>Rule:</b> Zero-pendency mandate + 1-month family-pension clock.<br><br><b>Hinglish:</b> Koi file atki nahi; parivaar-pension 1 mahine me.<br><br><b>Ref:</b> Rule 73(1), 73(2)(a); Rule 73(1); Rule 50(2); Rule 73(2)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_73 Timeline CCS_Pension::Rule_73 Priority::High,Cloze
CCS21-39f071f6,The payment rule's sub-rule (1): AO returns{{c1::Form payment Part II Section I within 1 MONTH}}; first proviso:{{c2::1-year emoluments}}check; second proviso:{{c3::CONTINUE provisional}}meanwhile.,<b>Rule:</b> 1-month AO audit on 1-year pay; provisional never gaps.<br><br><b>Hinglish:</b> 1 mahine me AO-jaanch (1-saal vetan); tab tak provisional jaari.<br><br><b>Ref:</b> Rule 76(1); Rule 76,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_76 Timeline CCS_Pension::Rule_76 Priority::High,Cloze
CCS21-057bac14,"The payment rule's sub-rule (3)(e): missing servant —{{c1::THREE dates, LATEST}}(mirrors its missing-persons counterpart); the payment rule's sub-rule (3)(f):{{c2::6-month bar}}; the payment rule's sub-rule (4):{{c3::disabled child / dependent parents / disabled siblings}}enter PPO if no prior claimant.","<b>Rule:</b> Missing-date trio + bar + extended-family PPO gate.<br><br><b>Hinglish:</b> Laapata me 3-tareekh-LATEST + 6-mahine rok; divyang/mata-pita/bhai PPO me.<br><br><b>Ref:</b> Rule 76(3)(e), (f); Rule 76(4); Rule 76(3); Rule 51(1)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_76 Missing_Person Timeline CCS_Pension::Rule_76 Priority::High,Cloze
CCS21-955609a9,2022 fix: the payment rule's second sub-rule (5) was renumbered{{c1::(5A)}}by G.S.R. 770(E).,<b>Rule:</b> Pure numbering correction — duplicate split into /(5A).<br><br><b>Hinglish:</b> Do the — doosra (5A) bana.<br><br><b>Ref:</b> Rule 76(5A); G.S.R. 770(E); Rule 76; Rule 76(5),CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_76 GSR_770_E_2022 Amendment Rule_76_Numbering_Fix CCS_Pension::Rule_76 Priority::Medium,Cloze
