#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
"CCS21-8ac65355","AO authorises within{{c1::1 MONTH of sanction receipt}}; first proviso: delay beyond{{c2::3 MONTHS from claim}}→{{c3::interest + interest responsibility}}; second proviso: missing cases —{{c4::PPO date + 6-month bar}}.","<b>Rule:</b> 1-month AO clock; 3-month interest tripwire; missing-case PPO+bar.<br><br><b>Hinglish:</b> AO 1 mahine me; 3 mahine-ruka to byaaj; laapata me PPO+6-mahine.<br><br><b>Ref:</b> Rule 80(1); Rule 65","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_80 Timeline Proviso CCS_Pension::Rule_80 Priority::Critical","Cloze"
"CCS21-5f04b85c","AO→CPAO in{{c1::1 MONTH}}(+ Format 9); the authorisation rule's sub-rule (3): CPAO{{c2::Special Seal in 10 DAYS}}; the authorisation rule's sub-rule (4): PDA disburses in{{c3::15 DAYS}}.","<b>Rule:</b> 1-month → 10-day → 15-day payment relay.<br><br><b>Hinglish:</b> AO-CPAO-PDA: 1-mahina, 10-din, 15-din — paisa ghar.<br><br><b>Ref:</b> Rule 80(2), 80(3), 80(4); Rule 80(2); Rule 80(3); Rule 80(4)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_80 Timeline CCS_Pension::Rule_80 Priority::Critical","Cloze"
"CCS21-68a8b77c","death AFTER retirement WITHOUT forms — first,{{c1::spouse, then eligible family member}}files{{c2::Form 10 + Form 4 + Format 9}}; proviso: NOBODY family-pension-eligible →{{c3::gratuity nominee files Form 6}}; third, (2024) HoO forwards{{c4::BOTH routes (Forms-set OR Form 6-A)}}.","<b>Rule:</b> Post-retirement death without papers: spouse-ladder + nominee-rescue + dual forwarding.<br><br><b>Hinglish:</b> Kagaz-bina-maut: patni→parivaar (Form 10-set); koi-haqdaar-nahi to nominee (Form 6); HoO dono raste bheje.<br><br><b>Scope:</b> Form 6 + Form-10-set are recipient-track filings, unchanged by 410(E) (whose 6-A covers the servant retirement track only).<br><br><b>Ref:</b> Rule 80(5)(a), proviso, (c); Rule 80(5)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_80 Form Form_6A GSR_410_E_2024 CCS_Pension::Rule_80 Priority::High","Cloze"
"CCS21-164924ae","The rupees-only rule: ALL pensions incl. gratuities paid in{{c1::RUPEES, in INDIA ONLY}}.","<b>Rule:</b> Currency + territory lock.<br><br><b>Hinglish:</b> Rupaye me, Bharat me hi.<br><br><b>Ref:</b> Rule 82","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_82 CCS_Pension::Rule_82 Priority::Medium","Cloze"
"CCS21-1e538431","gratuity in{{c1::LUMP SUM}}; the arrears rule's sub-rule (2): monthly pension on{{c2::LAST working day}}— March pension on{{c3::1st working day of APRIL}}.","<b>Rule:</b> Gratuity once; pension month-end; March spills to April-1.<br><br><b>Hinglish:</b> Gratuity ek-baari; pension mahine-aakhir; March wali April-1 ko.<br><br><b>Trap:</b> March exception.<br><br><b>Ref:</b> Rule 83(1), 83(2); Rule 83(1); Rule 83(2)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_83 Timeline Exam_Trap CCS_Pension::Rule_83 Priority::High","Cloze"
"CCS21-2046fbec","{{c1::Treasury Rules}}govern 4 payment items ('{{c2::save as otherwise provided}}' = these Rules prevail); the satellite-application rule's sub-rule (2):{{c3::CCS (Commutation) Rules 1981}}; the satellite-application rule's sub-rule (3):{{c4::Payment of Arrears of Pension (Nominations) Rules 1983}}.","<b>Rule:</b> Treasury-default + Commutation + Arrears-nomination satellites.<br><br><b>Hinglish:</b> Khazana-niyam (yeh-niyam-upar) + commutation-1981 + baqaya-nomination-1983.<br><br><b>Ref:</b> Rule 84(1), 84(2), 84(3); Rule 84(1); Rule 84(2); Rule 84(3)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_84 CCS_Pension::Rule_84 Priority::High","Cloze"
"CCS21-1a2cd815","The doubt-reference rule: interpretation doubt → refer to{{c1::DoPPW or DoPT}}.","<b>Rule:</b> Pension-vs-personnel referral by subject.<br><br><b>Hinglish:</b> Matlab-atkela to DoPPW/DoPT poochho.<br><br><b>Ref:</b> Rule 85","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_85 CCS_Pension::Rule_85 Priority::Medium","Cloze"
"CCS21-55ba1594","The relaxation rule relaxation needs{{c1::undue hardship + particular case + recorded-reasons order + DoPPW/DoPT concurrence}}.","<b>Rule:</b> 4-gate mercy: hardship, specificity, reasoning, concurrence.<br><br><b>Hinglish:</b> Kathin-museebat, khaas-case, wajah-likho, DoPPW/DoPT-haan — tabhi chhoot.<br><br><b>Ref:</b> Rule 86","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_86 CCS_Pension::Rule_86 Priority::High","Cloze"
"CCS21-e059dc51","repeals{{c1::EVERY rule/regulation/order/OM}}inconsistent (1972 Rules as example) — PARTIAL ('{{c2::in so far as}}' inconsistent).","<b>Rule:</b> Blanket-but-partial repeal: only the inconsistent sliver dies.<br><br><b>Hinglish:</b> Jo-takraaye wahi-radd (1972 samet) — 'jahaan-tak' shabd pakdo.<br><br><b>Ref:</b> Rule 87(1)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Rule_87 Repeal CCS_Pension::Rule_87 Priority::High","Cloze"
"CCS21-435dfe7e","Form 6 ↔{{c1::gratuity-nominee claim where NOBODY is family-pension-eligible (the authorisation rule's sub-rule (5) proviso)}}.","<b>Rule:</b> Nominee-rescue form; distinct from merged-away old Form 6 retirement filing (now 6-A).<br><br><b>Hinglish:</b> Koi-haqdaar-nahi to nominee ka Form 6.<br><br><b>Trap:</b> Form 6 vs 6-A.<br><br><b>Ref:</b> Rule 80(5) proviso; Rule 80(5)","CCS_Pension_Rules_2021::09_Authorization_Forms_Rules_80_to_87","CCS_Pension Form Exam_Trap Priority::High","Cloze"
